"price_level","vegan_options","awards","gluten_free","cuisines","original_location","open_days_per_week","avg_rating","total_reviews_count","food","service","atmosphere","excellent","meals"
"medium","Y","Certificate of Excellence 2016","N","European","Vallès Occidental",7,4,236,4,3.5,4,1,"UNK"
"medium","N","Not Awarded","N","European","Maresme",6,3,108,3.5,3,3.5,4,"L"
"medium","N","Certificate of Excellence 2020","Y","European","Maresme",6,4.5,206,4.5,4.5,4,8,"UNK"
"medium","N","Not Awarded","N","European","Maresme",7,3,122,3.5,3,3.5,1,"LD"
"medium","Y","Certificate of Excellence 2020","Y","European","NotFound",6,4,265,4,4.5,4.5,4,"UNK"
"medium","N","Certificate of Excellence 2019","Y","European","Osona",6,4,180,4,4,4,4,"LD"
"medium","Y","Certificate of Excellence 2020","Y","European","NotFound",7,4.5,294,4.5,4.5,4,9,"AM"
"medium","Y","Certificate of Excellence 2018","N","European","NotFound",7,4,146,4,4.5,4.5,12,"LD"
"medium","N","Certificate of Excellence 2015","Y","European","NotFound",4,3.5,240,4.5,4,3.5,4,"BL"
"medium","Y","Not Awarded","Y","European","NotFound",6,4.5,338,4.5,4.5,4,15,"UNK"
"low","N","Certificate of Excellence 2019","N","Others","NotFound",7,4,146,4.5,4,4,10,"B"
"medium","N","Certificate of Excellence 2020","N","European","NotFound",7,4,131,4,4,4,7,"LD"
"medium","Y","Certificate of Excellence 2020","Y","European","Vallès Oriental",6,4.5,206,4.5,4.5,4,5,"LD"
"medium","N","Not Awarded","Y","European","Vallès Oriental",6,4,120,4,3,3.5,1,"LD"
"medium","Y","Certificate of Excellence 2020","Y","European","Vallès Oriental",5,4.5,185,5,4.5,4.5,146,"UNK"
"medium","N","Certificate of Excellence 2017","N","European","Vallès Oriental",7,4,104,4,4.5,4.5,1,"LD"
"medium","Y","Certificate of Excellence 2020","Y","European","Vallès Oriental",7,4,491,4,4,4,6,"LD"
"medium","Y","Not Awarded","Y","European","Vallès Oriental",6,4,198,4,3.5,3.5,1,"LD"
"medium","N","Not Awarded","N","European","Vallès Oriental",6,3.5,119,4,4,3.5,0,"LD"
"medium","N","Certificate of Excellence 2020","Y","European","Vallès Oriental",6,4,219,4.5,4,4,2,"UNK"
"medium","N","Not Awarded","N","European","Vallès Oriental",7,3,175,3,3.5,3.5,0,"AM"
"medium","N","Certificate of Excellence 2020","N","European","Vallès Oriental",6,4.5,259,4.5,4.5,4,3,"LD"
"low","N","Certificate of Excellence 2017","N","European","Vallès Oriental",6,4.5,125,4,4,3.5,3,"AM"
"medium","Y","Certificate of Excellence 2018","Y","European","Vallès Oriental",7,4,214,4,4,4,3,"UNK"
"medium","N","Certificate of Excellence 2017","Y","European","Vallès Oriental",6,4,299,4,4.5,4.5,1,"UNK"
"medium","N","Certificate of Excellence 2017","Y","European","Vallès Oriental",7,4,332,4,3.5,3.5,1,"AM"
"medium","Y","Certificate of Excellence 2017","Y","European","Vallès Oriental",7,4,191,4,4,4,1,"LD"
"medium","N","Not Awarded","N","European","Vallès Occidental",7,4,142,4,3.5,3.5,0,"LD"
"medium","Y","Not Awarded","N","European","Vallès Occidental",7,3.5,133,4,3.5,4,1,"AM"
"low","N","Not Awarded","N","European","Vallès Occidental",7,3.5,127,3.5,3,3,21,"LD"
"medium","N","Certificate of Excellence 2020","N","European","Vallès Occidental",7,4,102,4,4,4,39,"LD"
"medium","Y","Certificate of Excellence 2020","Y","European","Berguedà",6,4.5,161,4.5,4.5,4,5,"UNK"
"high","Y","Not Awarded","Y","European","Berguedà",6,4.5,202,4.5,4.5,4.5,9,"LD"
"medium","Y","Certificate of Excellence 2020","Y","European","Berguedà",6,4,562,4.5,4.5,4.5,26,"AM"
"medium","Y","Certificate of Excellence 2020","Y","European","Berguedà",4,4.5,143,4,4,4,3,"UNK"
"medium","N","Certificate of Excellence 2019","N","European","Berguedà",3,4.5,123,4.5,4.5,4.5,14,"UNK"
"medium","N","Certificate of Excellence 2020","N","European","Berguedà",6,4,110,4.5,4,4,1,"UNK"
"medium","N","Certificate of Excellence 2017","N","European","Berguedà",7,3.5,128,3.5,3.5,3.5,0,"LD"
"low","Y","Certificate of Excellence 2020","Y","European","Berguedà",7,4.5,108,4.5,4.5,4,5,"UNK"
